,date,team,opponent,home_player_1,home_player_2,home_player_3,home_player_4,home_player_5,home_player_6,home_player_7,home_player_8,home_player_9,home_player_10,home_player_11,away_player_1,away_player_2,away_player_3,away_player_4,away_player_5,away_player_6,away_player_7,away_player_8,away_player_9,away_player_10,away_player_11
26,2022-08-22,Manchester United,Liverpool,DaviddeGea,TyrellMalacia,RaphaëlVarane,DiogoDalot,LisandroMartínez,BrunoFernandes,AnthonyElanga,ChristianEriksen,JadonSancho,ScottMcTominay,MarcusRashford,Alisson,TrentAlexander-Arnold,AndrewRobertson,JoeGomez,VirgilvanDijk,JordanHenderson,JamesMilner,HarveyElliott,RobertoFirmino,MohamedSalah,LuisDíaz
27,2022-08-21,Newcastle United,Manchester City,NickPope,SvenBotman,KieranTrippier,DanBurn,FabianSchär,BrunoGuimarães,JoeWillock,Joelinton,MiguelAlmirón,CallumWilson,AllanSaint-Maximin,Ederson,KyleWalker,NathanAké,JohnStones,JoãoCancelo,IlkayGündogan,Rodri,KevinDeBruyne,PhilFoden,BernardoSilva,ErlingHaaland
28,2022-08-20,Tottenham Hotspur,Wolverhampton Wanderers,HugoLloris,BenDavies,DavinsonSánchez,EricDier,EmersonRoyal,RodrigoBentancur,Pierre-EmileHøjbjerg,IvanPerisic,SonHeung-Min,DejanKulusevski,HarryKane,JoséSá,MaximilianKilman,Jonny,NathanCollins,JoãoMoutinho,MatheusNunes,PedroNeto,RúbenNeves,RayanAït-Nouri,GonçaloGuedes,DanielPodence
29,2022-08-21,West Ham United,Brighton & Hove Albion,LukaszFabianski,KurtZouma,VladimírCoufal,AaronCresswell,ThiloKehrer,DeclanRice,TomásSoucek,JarrodBowen,PabloFornals,SaïdBenrahma,MichailAntonio,RobertSánchez,AdamWebster,LewisDunk,JoëlVeltman,MoisésCaicedo,PascalGroß,LeandroTrossard,AlexisMacAllister,SollyMarch,DannyWelbeck,AdamLallana
30,2022-08-27,Arsenal,Fulham,AaronRamsdale,WilliamSaliba,KieranTierney,BenWhite,GabrielMagalhães,MartinØdegaard,MohamedElneny,GranitXhaka,BukayoSaka,GabrielMartinelli,GabrielJesus,BerndLeno,AntoneeRobinson,TosinAdarabioyo,TimReam,KennyTete,BobbyDeCordova-Reid,JoãoPalhinha,AndreasPereira,HarrisonReed,NeeskensKebano,AleksandarMitrovic
31,2022-08-28,Aston Villa,West Ham United,EmilianoMartínez,LucasDigne,CalumChambers,MattyCash,EzriKonsa,PhilippeCoutinho,DouglasLuiz,JohnMcGinn,BoubacarKamara,DannyIngs,OllieWatkins,LukaszFabianski,AaronCresswell,ThiloKehrer,KurtZouma,PabloFornals,DeclanRice,Emerson,BenJohnson,TomásSoucek,JarrodBowen,GianlucaScamacca
32,2022-08-27,Brentford,Everton,DavidRaya,RicoHenry,Zanka,AaronHickey,BenMee,ChristianNørgaard,JoshDasilva,MathiasJensen,YoaneWissa,BryanMbeumo,IvanToney,JordanPickford,MasonHolgate,JamesTarkowski,ConorCoady,AmadouOnana,AlexIwobi,VitaliiMykolenko,NathanPatterson,DwightMcNeil,DemaraiGray,AnthonyGordon
33,2022-08-27,Brighton & Hove Albion,Leeds United,RobertSánchez,LewisDunk,AdamWebster,PervisEstupiñán,JoëlVeltman,AlexisMacAllister,LeandroTrossard,MoisésCaicedo,SollyMarch,DannyWelbeck,PascalGroß,IllanMeslier,PascalStruijk,RobinKoch,DiegoLlorente,RasmusKristensen,TylerAdams,MarcRoca,DanJames,JackHarrison,BrendenAaronson,Rodrigo
34,2022-08-27,Chelsea,Leicester City,ÉdouardMendy,TrevohChalobah,MarcCucurella,ReeceJames,ThiagoSilva,Jorginho,ConorGallagher,MasonMount,RubenLoftus-Cheek,KaiHavertz,RaheemSterling,DannyWard,JamesJustin,TimothyCastagne,JonnyEvans,DanielAmartey,YouriTielemans,HarveyBarnes,BoubakarySoumaré,KiernanDewsbury-Hall,DennisPraet,JamieVardy
35,2022-08-27,Liverpool,Bournemouth,Alisson,VirgilvanDijk,JoeGomez,AndrewRobertson,TrentAlexander-Arnold,JordanHenderson,HarveyElliott,Fabinho,LuisDíaz,RobertoFirmino,MohamedSalah,MarkTravers,MarcosSenesi,JordanZemura,ChrisMepham,AdamSmith,LewisCook,JeffersonLerma,JaidonAnthony,RyanChristie,MarcusTavernier,KiefferMoore
